"item";"gastos";"mes";"anno";"id"
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"1.479.949";"marzo";"2022";1096
"TELEFONÍA";"0";"marzo";"2022";1096
"TRASLACIÓN";"610.486";"marzo";"2022";1096
"DIFUSIÓN";"0";"marzo";"2022";1096
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"marzo";"2022";1096
"ARRIENDO DE INMUEBLE";"0";"marzo";"2022";1096
"CONSUMOS BÁSICOS";"0";"marzo";"2022";1096
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"243.950";"marzo";"2022";1096
"MATERIALES DE OFICINA";"113.755";"marzo";"2022";1096
"CORRESPONDENCIA";"0";"marzo";"2022";1096
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"marzo";"2022";1096
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"marzo";"2022";1096
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"marzo";"2022";1096
"SEGUROS DE BIENES";"0";"marzo";"2022";1096
"ARRIENDO DE OFICINAS VIRTUALES";"0";"marzo";"2022";1096
"SERVICIOS WEB";"0";"marzo";"2022";1096
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"marzo";"2022";1096
"ARRIENDO DE OFICINA MÓVIL";"0";"marzo";"2022";1096
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"marzo";"2022";1096
"SERVICIOS MENORES";"333.333";"marzo";"2022";1096
"COVID-19 PERSONAL DE APOYO";"0";"marzo";"2022";1096
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"2.000.735";"abril";"2022";1096
"TELEFONÍA";"0";"abril";"2022";1096
"TRASLACIÓN";"790.389";"abril";"2022";1096
"DIFUSIÓN";"1.800.000";"abril";"2022";1096
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"abril";"2022";1096
"ARRIENDO DE INMUEBLE";"0";"abril";"2022";1096
"CONSUMOS BÁSICOS";"0";"abril";"2022";1096
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"296.870";"abril";"2022";1096
"MATERIALES DE OFICINA";"22.378";"abril";"2022";1096
"CORRESPONDENCIA";"0";"abril";"2022";1096
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"abril";"2022";1096
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"abril";"2022";1096
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"abril";"2022";1096
"SEGUROS DE BIENES";"0";"abril";"2022";1096
"ARRIENDO DE OFICINAS VIRTUALES";"0";"abril";"2022";1096
"SERVICIOS WEB";"0";"abril";"2022";1096
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"abril";"2022";1096
"ARRIENDO DE OFICINA MÓVIL";"0";"abril";"2022";1096
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"abril";"2022";1096
"SERVICIOS MENORES";"500.000";"abril";"2022";1096
"COVID-19 PERSONAL DE APOYO";"0";"abril";"2022";1096
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"2.209.380";"mayo";"2022";1096
"TELEFONÍA";"168.136";"mayo";"2022";1096
"TRASLACIÓN";"734.250";"mayo";"2022";1096
"DIFUSIÓN";"494.186";"mayo";"2022";1096
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"mayo";"2022";1096
"ARRIENDO DE INMUEBLE";"0";"mayo";"2022";1096
"CONSUMOS BÁSICOS";"0";"mayo";"2022";1096
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"43.960";"mayo";"2022";1096
"MATERIALES DE OFICINA";"96.145";"mayo";"2022";1096
"CORRESPONDENCIA";"0";"mayo";"2022";1096
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"mayo";"2022";1096
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"mayo";"2022";1096
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"mayo";"2022";1096
"SEGUROS DE BIENES";"0";"mayo";"2022";1096
"ARRIENDO DE OFICINAS VIRTUALES";"0";"mayo";"2022";1096
"SERVICIOS WEB";"0";"mayo";"2022";1096
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"mayo";"2022";1096
"ARRIENDO DE OFICINA MÓVIL";"0";"mayo";"2022";1096
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"mayo";"2022";1096
"SERVICIOS MENORES";"500.000";"mayo";"2022";1096
"COVID-19 PERSONAL DE APOYO";"0";"mayo";"2022";1096
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"2.209.380";"junio";"2022";1096
"TELEFONÍA";"71.168";"junio";"2022";1096
"TRASLACIÓN";"1.035.572";"junio";"2022";1096
"DIFUSIÓN";"15.885";"junio";"2022";1096
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"junio";"2022";1096
"ARRIENDO DE INMUEBLE";"1.810.500";"junio";"2022";1096
"CONSUMOS BÁSICOS";"55.770";"junio";"2022";1096
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"320.151";"junio";"2022";1096
"MATERIALES DE OFICINA";"47.913";"junio";"2022";1096
"CORRESPONDENCIA";"4.270";"junio";"2022";1096
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"junio";"2022";1096
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"junio";"2022";1096
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"junio";"2022";1096
"SEGUROS DE BIENES";"0";"junio";"2022";1096
"ARRIENDO DE OFICINAS VIRTUALES";"0";"junio";"2022";1096
"SERVICIOS WEB";"0";"junio";"2022";1096
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"junio";"2022";1096
"ARRIENDO DE OFICINA MÓVIL";"0";"junio";"2022";1096
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"junio";"2022";1096
"SERVICIOS MENORES";"489.203";"junio";"2022";1096
"COVID-19 PERSONAL DE APOYO";"0";"junio";"2022";1096
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"2.200.826";"julio";"2022";1096
"TELEFONÍA";"71.168";"julio";"2022";1096
"TRASLACIÓN";"1.131.571";"julio";"2022";1096
"DIFUSIÓN";"530.270";"julio";"2022";1096
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"julio";"2022";1096
"ARRIENDO DE INMUEBLE";"510.000";"julio";"2022";1096
"CONSUMOS BÁSICOS";"89.930";"julio";"2022";1096
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"239.171";"julio";"2022";1096
"MATERIALES DE OFICINA";"97.563";"julio";"2022";1096
"CORRESPONDENCIA";"0";"julio";"2022";1096
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"julio";"2022";1096
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"julio";"2022";1096
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"julio";"2022";1096
"SEGUROS DE BIENES";"0";"julio";"2022";1096
"ARRIENDO DE OFICINAS VIRTUALES";"0";"julio";"2022";1096
"SERVICIOS WEB";"0";"julio";"2022";1096
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"julio";"2022";1096
"ARRIENDO DE OFICINA MÓVIL";"0";"julio";"2022";1096
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"julio";"2022";1096
"SERVICIOS MENORES";"283.850";"julio";"2022";1096
"COVID-19 PERSONAL DE APOYO";"0";"julio";"2022";1096
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"2.209.380";"agosto";"2022";1096
"TELEFONÍA";"71.168";"agosto";"2022";1096
"TRASLACIÓN";"1.081.896";"agosto";"2022";1096
"DIFUSIÓN";"0";"agosto";"2022";1096
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"agosto";"2022";1096
"ARRIENDO DE INMUEBLE";"510.000";"agosto";"2022";1096
"CONSUMOS BÁSICOS";"90.390";"agosto";"2022";1096
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"284.271";"agosto";"2022";1096
"MATERIALES DE OFICINA";"109.435";"agosto";"2022";1096
"CORRESPONDENCIA";"0";"agosto";"2022";1096
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"agosto";"2022";1096
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"agosto";"2022";1096
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"agosto";"2022";1096
"SEGUROS DE BIENES";"0";"agosto";"2022";1096
"ARRIENDO DE OFICINAS VIRTUALES";"0";"agosto";"2022";1096
"SERVICIOS WEB";"0";"agosto";"2022";1096
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"agosto";"2022";1096
"ARRIENDO DE OFICINA MÓVIL";"0";"agosto";"2022";1096
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"agosto";"2022";1096
"SERVICIOS MENORES";"378.300";"agosto";"2022";1096
"COVID-19 PERSONAL DE APOYO";"0";"agosto";"2022";1096
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"2.170.887";"septiembre";"2022";1096
"TELEFONÍA";"83.068";"septiembre";"2022";1096
"TRASLACIÓN";"1.423.582";"septiembre";"2022";1096
"DIFUSIÓN";"300.000";"septiembre";"2022";1096
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"septiembre";"2022";1096
"ARRIENDO DE INMUEBLE";"510.000";"septiembre";"2022";1096
"CONSUMOS BÁSICOS";"0";"septiembre";"2022";1096
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"182.281";"septiembre";"2022";1096
"MATERIALES DE OFICINA";"42.552";"septiembre";"2022";1096
"CORRESPONDENCIA";"0";"septiembre";"2022";1096
